[2025-06-23 14:27:31,367: INFO: main: Logging is implemented]
[2025-06-24 16:04:38,297: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 16:04:38,300: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 16:04:38,301: INFO: common: created directory at: artifacts]
[2025-06-24 16:04:38,301: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 16:04:39,166: INFO: 1315043347: File is downloaded]
[2025-06-24 16:41:26,120: INFO: main: stage Data Ingestion Stage initiated]
[2025-06-24 16:41:26,120: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 16:41:26,121: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 16:41:26,121: INFO: common: created directory at: artifacts]
[2025-06-24 16:41:26,121: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 16:41:26,121: INFO: data_ingestion: File already exits]
[2025-06-24 16:41:26,190: INFO: main: Stage Data Ingestion Stage completed]
[2025-06-24 16:58:50,416: INFO: config: PyTorch version 2.6.0 available.]
[2025-06-24 17:03:30,399: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 17:03:30,401: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 17:03:30,401: INFO: common: created directory at: artifacts]
[2025-06-24 17:03:30,402: INFO: common: created directory at: artifacts/data_transformation]
[2025-06-24 17:03:40,335: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 17:03:40,337: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 17:03:40,337: INFO: common: created directory at: artifacts]
[2025-06-24 17:03:40,338: INFO: common: created directory at: artifacts/data_transformation]
[2025-06-24 17:15:23,095: INFO: config: PyTorch version 2.6.0 available.]
[2025-06-24 17:15:23,242: INFO: main: stage Data Ingestion Stage initiated]
[2025-06-24 17:15:23,242: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 17:15:23,243: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 17:15:23,243: INFO: common: created directory at: artifacts]
[2025-06-24 17:15:23,243: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 17:15:23,243: INFO: data_ingestion: File already exits]
[2025-06-24 17:15:23,316: INFO: main: Stage Data Ingestion Stage completed]
[2025-06-24 17:15:23,316: INFO: main: stage Data Transformation Stage initiated]
[2025-06-24 17:15:23,316: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-24 17:15:23,316: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 17:15:23,316: INFO: common: created directory at: artifacts]
[2025-06-24 17:15:23,316: INFO: common: created directory at: artifacts/data_transformation]
[2025-06-24 17:15:25,322: INFO: main: Stage Data Transformation Stage completed]
